model,model_label,feature_set,base_feature_count,model_column_count,mean_log_loss,worst_fold_log_loss,fold_log_loss_std,mean_brier_score,selected_groups,group_count
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + lineup_continuity + recency,31,35,0.9288816195975897,0.9468290709933772,0.01309178976128806,0.5466527436863864,legacy_player_form|lineup_continuity|recency,3
market_plus_player_form,Pooled market + player-form logistic,legacy_player_form + position_and_distribution + recency,44,48,0.935133800206386,0.9480121660116122,0.011593622710032959,0.5504834007445581,legacy_player_form|position_and_distribution|recency,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + opponent_adjusted_form + lineup_continuity,39,43,0.9293369743575493,0.9523205910295829,0.01657170493218957,0.5469261414826027,team_strength|opponent_adjusted_form|lineup_continuity,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + opponent_adjusted_form + position_and_distribution,52,56,0.9368569640967968,0.9544428167817663,0.013455186290299407,0.5512893534421728,team_strength|opponent_adjusted_form|position_and_distribution,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + opponent_adjusted_form + recency,49,53,0.9305200192055698,0.9498793267451953,0.013993092509092359,0.5476906019833924,team_strength|opponent_adjusted_form|recency,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + lineup_continuity + position_and_distribution,35,39,0.9353433899072756,0.9499032459345591,0.012773548798829495,0.5506229458121804,team_strength|lineup_continuity|position_and_distribution,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + lineup_continuity + recency,32,36,0.9292193864932168,0.9499243555005104,0.01513247467883043,0.5469485903764453,team_strength|lineup_continuity|recency,3
market_plus_player_form,Pooled market + player-form logistic,team_strength + position_and_distribution + recency,45,49,0.9357426966276974,0.951414529123722,0.012905829410937871,0.5507886416873435,team_strength|position_and_distribution|recency,3
market_plus_player_form,Pooled market + player-form logistic,opponent_adjusted_form + lineup_continuity + position_and_distribution,51,55,0.9366073739033383,0.9537222021373705,0.014315805387308676,0.551513503902939,opponent_adjusted_form|lineup_continuity|position_and_distribution,3
market_plus_player_form,Pooled market + player-form logistic,opponent_adjusted_form + lineup_continuity + recency,48,52,0.9291026227530416,0.9492895244196576,0.014750713778015625,0.5469561584377103,opponent_adjusted_form|lineup_continuity|recency,3
