feature_signature,feature_set,league,validation_season,train_seasons,train_matches,validation_matches,base_feature_count,log_loss,brier_score,accuracy,baseline_log_loss,baseline_brier_score,log_loss_delta,brier_delta,selected_groups
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,netherlands,2022-23,2020-21;2021-22,562,288,24,0.9706069193401218,0.5790448761583605,0.5381944444444444,0.9424312896770637,0.55917490524905,0.028175629663058088,0.01986997090931053,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,portugal,2022-23,2020-21;2021-22,477,240,24,0.9643228355465489,0.5634481606278249,0.5458333333333333,0.9264125568843918,0.5413254644388367,0.037910278662157015,0.02212269618898821,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,scotland,2022-23,2020-21;2021-22,456,226,24,0.900544862760535,0.5266315726615347,0.6106194690265486,0.8922513432577722,0.5209108259524217,0.008293519502762803,0.005720746709113045,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,turkey,2022-23,2020-21;2021-22,679,277,24,1.0027484264504554,0.5977142339645234,0.5379061371841155,1.0109009899979697,0.6040234982906969,-0.008152563547514369,-0.006309264326173514,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,belgium,2023-24,2020-21;2021-22;2022-23,873,312,24,1.0116626687982755,0.6053033337245659,0.4935897435897436,1.0013902654798221,0.5968977069661953,0.01027240331845336,0.008405626758370643,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,netherlands,2023-24,2020-21;2021-22;2022-23,850,306,24,0.9421385027898675,0.5586546363344173,0.5588235294117647,0.9362458767235576,0.5558519147774328,0.005892626066309914,0.0028027215569844666,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,portugal,2023-24,2020-21;2021-22;2022-23,717,64,24,0.8629436143665044,0.498587827550915,0.65625,0.8504730910418652,0.4909985983368065,0.01247052332463916,0.007589229214108539,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,scotland,2023-24,2020-21;2021-22;2022-23,682,212,24,0.9974787144799742,0.5899120703410371,0.5235849056603774,0.9470891943684686,0.5599571691785574,0.05038952011150555,0.029954901162479675,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,turkey,2023-24,2020-21;2021-22;2022-23,956,339,24,1.0117209955118434,0.602209965715705,0.5132743362831859,0.9877503766288129,0.5866877376266167,0.023970618883030426,0.015522228089088208,opponent_adjusted_form
adjusted_defensive_actions_lineup_mean_1|adjusted_defensive_actions_lineup_mean_3|adjusted_defensive_actions_lineup_mean_5|adjusted_defensive_actions_lineup_mean_ewm|adjusted_defensive_actions_lineup_mean_std_5|adjusted_defensive_actions_lineup_mean_trend_1_5|adjusted_key_passes_lineup_mean_1|adjusted_key_passes_lineup_mean_3|adjusted_key_passes_lineup_mean_5|adjusted_key_passes_lineup_mean_ewm|adjusted_key_passes_lineup_mean_std_5|adjusted_key_passes_lineup_mean_trend_1_5|adjusted_rating_lineup_mean_1|adjusted_rating_lineup_mean_3|adjusted_rating_lineup_mean_5|adjusted_rating_lineup_mean_ewm|adjusted_rating_lineup_mean_std_5|adjusted_rating_lineup_mean_trend_1_5|adjusted_shots_lineup_mean_1|adjusted_shots_lineup_mean_3|adjusted_shots_lineup_mean_5|adjusted_shots_lineup_mean_ewm|adjusted_shots_lineup_mean_std_5|adjusted_shots_lineup_mean_trend_1_5,opponent_adjusted_form,belgium,2024-25,2020-21;2021-22;2022-23;2023-24,1185,309,24,1.0353236694061918,0.6153848047594435,0.5080906148867314,1.0210319063819453,0.6110196844727422,0.014291763024246507,0.004365120286701218,opponent_adjusted_form
