seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,2,remove,replacement_quality,7,-0.004406495895127205,2,0.002543883524618984,False
lineup_continuity,2,remove,mean_pairwise_prior_starts,7,-0.004331590945058439,3,0.00339960910307735,False
lineup_continuity,2,remove,mean_pairwise_prior_minutes,7,-0.004202132444708418,3,0.0033703192826746164,False
lineup_continuity,2,add,rating_lineup_mean_trend_1_5,9,-0.004192928505386306,2,0.0026032230756471986,False
lineup_continuity,2,add,rating_lineup_std_across_starters_5,9,-0.004161174784031307,2,0.004839649812976021,False
lineup_continuity,2,add,rating_lineup_min_5,9,-0.0041554991883764325,2,0.004769893850357421,False
lineup_continuity,2,add,gk_saves_per90_5,9,-0.004149745774758173,3,0.0025756089918936853,False
lineup_continuity,2,add,mid_rating_mean_5,9,-0.00410892598606849,2,0.0019091803185267153,False
lineup_continuity,2,add,adjusted_shots_lineup_std_across_starters_5,9,-0.0040743208443256625,2,0.001885561613892417,False
lineup_continuity,2,remove,new_player_pairs,7,-0.003978841505933128,2,0.0031683523842942485,False
lineup_continuity,2,remove,missing_regular_starters,7,-0.003974426355200111,3,0.0021647721341619963,False
lineup_continuity,2,add,gk_count,9,-0.00394215540620142,2,0.0028388584253955518,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_trend_1_5,9,-0.0038623154662094316,2,0.0030785681450771207,False
lineup_continuity,2,add,shots_per90_lineup_mean_ewm,9,-0.003856920539624764,2,0.0037061570482708195,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_1,9,-0.0036734297240962333,3,0.0035035670680562125,False
lineup_continuity,2,add,rating_lineup_mean_1,9,-0.0036525091361673256,2,0.0026822700151273304,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_1,9,-0.00357134486219568,3,0.0036145636584692387,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_ewm,9,-0.003514043626618513,2,0.0030402172875043654,False
lineup_continuity,2,add,shots_per90_sum_5,9,-0.0035080035482025983,2,0.003263123052130723,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_trend_1_5,9,-0.0035014923707570532,2,0.004163039883773756,False
lineup_continuity,2,add,def_adjusted_defensive_actions_5,9,-0.0034972725781245552,2,0.004632352875722612,False
lineup_continuity,2,add,fwd_adjusted_shots_5,9,-0.003474118985970054,2,0.004273873937858053,False
lineup_continuity,2,add,key_passes_per90_sum_5,9,-0.003470984508145025,2,0.0028148072863016793,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_1,9,-0.003395669453788419,2,0.003045217445232007,False
lineup_continuity,2,add,defensive_actions_per90_lineup_mean_1,9,-0.0033862638571074523,2,0.0030030892675589893,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_std_5,9,-0.0033782574352547723,2,0.003211003377971755,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_5,9,-0.0033756869940089417,3,0.0030706786334460112,False
lineup_continuity,2,add,starters_without_full_window,9,-0.003356524082554313,2,0.0040027387326829755,False
lineup_continuity,2,add,shots_per90_lineup_mean_trend_1_5,9,-0.003329683019126772,2,0.004075473423586495,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_1,9,-0.003273315366510987,2,0.006115268469800594,False
lineup_continuity,2,add,adjusted_rating_lineup_std_across_starters_5,9,-0.0032681274242933878,2,0.002662715138031957,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_std_5,9,-0.003235439315613653,2,0.003961547285598943,False
lineup_continuity,2,add,rating_lineup_mean_ewm,9,-0.003231286251822696,2,0.003051061850400605,False
lineup_continuity,2,add,shots_per90_lineup_mean_1,9,-0.003224438137300489,2,0.004384177323470961,False
lineup_continuity,2,add,fwd_rating_mean_5,9,-0.003180766973519056,2,0.003156494310599278,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_ewm,9,-0.0031724998907590287,3,0.004933596380745198,False
lineup_continuity,2,add,rating_mean_5,9,-0.003165859309004637,2,0.0034941153730151386,False
lineup_continuity,2,add,key_passes_per90_lineup_mean_ewm,9,-0.003157186234221254,2,0.004844710848059597,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_trend_1_5,9,-0.003137801365811832,2,0.0028462182214814558,False
lineup_continuity,2,add,adjusted_shots_lineup_mean_3,9,-0.0031333304256932594,3,0.003398956746396342,False
lineup_continuity,2,add,defensive_actions_per90_lineup_mean_trend_1_5,9,-0.0031229587630120514,2,0.002904978873417896,False
lineup_continuity,2,add,fwd_count,9,-0.003112698511722156,3,0.005088309912177902,False
lineup_continuity,2,add,recent_minutes_sum_5,9,-0.0030257392569073005,2,0.0037595909848171516,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_std_5,9,-0.0030231926650334806,2,0.00322555980715844,False
lineup_continuity,2,add,shots_per90_lineup_mean_3,9,-0.003022054304141553,2,0.0036511093305903186,False
lineup_continuity,2,add,rating_lineup_mean_3,9,-0.002976505516353667,2,0.0026213462590735093,False
lineup_continuity,2,add,rating_lineup_mean_std_5,9,-0.0029732665298890736,2,0.003396588052765992,False
lineup_continuity,2,add,rating_lineup_max_5,9,-0.0029215964460161726,2,0.0031627811250796167,False
lineup_continuity,2,add,mid_adjusted_key_passes_5,9,-0.002915737031155041,3,0.002865976398934489,False
lineup_continuity,2,add,starters_without_history,9,-0.002893206628308631,2,0.004002156463703166,False
lineup_continuity,2,add,mid_count,9,-0.0028846113839883004,2,0.0034254912820825822,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_trend_1_5,9,-0.0028714491421830022,2,0.008492128778305075,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_ewm,9,-0.002856815048782946,2,0.0038025197304214498,False
lineup_continuity,2,add,defensive_actions_per90_lineup_mean_3,9,-0.002849669327565518,2,0.0036139523686480324,False
lineup_continuity,2,add,defensive_actions_per90_lineup_mean_ewm,9,-0.0027661517105802115,2,0.004181045814064754,False
lineup_continuity,2,add,gk_rating_mean_5,9,-0.0027598296858150962,2,0.002606996228719849,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_ewm,9,-0.0027498334896950195,2,0.006476132659211986,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_3,9,-0.002664101498903171,2,0.004757747514943955,False
lineup_continuity,2,add,key_passes_per90_lineup_mean_1,9,-0.00261913104703817,2,0.008929449670570189,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_5,9,-0.00252134475669481,2,0.007383323032604694,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_5,9,-0.0025102012674276695,2,0.005431194840168629,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_5,9,-0.002496185743315804,2,0.004282233610937047,False
lineup_continuity,2,add,defensive_actions_per90_sum_5,9,-0.0024864516001285473,2,0.005575703759364781,False
lineup_continuity,2,add,key_passes_per90_lineup_mean_trend_1_5,9,-0.0024450511142761755,2,0.008680498329963093,False
lineup_continuity,2,add,def_rating_mean_5,9,-0.0023693698761079853,2,0.0034965114431191324,False
lineup_continuity,2,add,adjusted_rating_lineup_mean_3,9,-0.002359489421793026,2,0.0041869796214415445,False
lineup_continuity,2,add,rating_lineup_top3_mean_5,9,-0.0022716350163386025,2,0.005390788810303748,False
lineup_continuity,2,add,adjusted_key_passes_lineup_std_across_starters_5,9,-0.002210732469173027,2,0.004058585954219485,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_mean_std_5,9,-0.002109812792829602,2,0.005567905435744258,False
lineup_continuity,2,add,def_count,9,-0.0020768392976254547,2,0.00554461229250558,False
lineup_continuity,2,add,adjusted_key_passes_lineup_mean_3,9,-0.0018169990753405419,2,0.005938680406447405,False
lineup_continuity,2,remove,key_passes_per90_lineup_mean_3,7,-0.0010011462527564463,3,0.002646363836752541,False
lineup_continuity,2,add,adjusted_defensive_actions_lineup_std_across_starters_5,9,-0.0008439981238674621,1,0.006138344540062013,False
lineup_continuity,2,add,attack_goal_rate_ewm,9,-0.00032510763345781066,2,0.008817170275828623,False
lineup_continuity,2,add,defence_goal_rate_ewm,9,-0.00032489492288985123,1,0.005048670700717572,False
lineup_continuity,2,add,opponent_elo_rating,9,0.00019209262360349034,2,0.012506675431235292,False
lineup_continuity,2,add,elo_difference,9,0.0001922654125657397,2,0.012507537230127985,False
lineup_continuity,2,add,elo_rating,9,0.00019368017888472534,2,0.012514624042942346,False
lineup_continuity,2,add,elo_expected_result,9,0.001028079014715222,2,0.014361806372853225,False
lineup_continuity,2,add,expected_goals_strength,9,0.0020304584897341106,1,0.00820655496176137,False
