probability_version,comparison,priority,training_scope,baseline_model,enhanced_model,weighting,league,metric,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,belgium,log_loss,621,1,0.9897674150439836,0.9897508586453562,1.655639862744123e-05,0.0016727564855936877,-0.006548508843877066,0.0064917723387550585,-0.6558062763933898,0.6587875629163802,50.99,False,10000,82
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,belgium,brier_score,621,1,0.5893189272183318,0.5902044130981082,-0.0008854858797764687,-0.15025580188915474,-0.005525092499953595,0.0035018571201305194,-0.9335957818377689,0.6027967233037185,36.19,False,10000,82
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,netherlands,log_loss,609,1,0.9167735260363209,0.9211641570639428,-0.004390631027621893,-0.4789221004891828,-0.011690176562357346,0.003192647294286506,-1.2627484154980972,0.3481829109070584,12.7,False,10000,83
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,netherlands,brier_score,609,1,0.5440866667649525,0.5459115684319594,-0.001824901667006844,-0.3354064303500398,-0.0063837611742656765,0.002919818796455614,-1.1645098522586492,0.5403328074034033,22.82,False,10000,83
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,portugal,log_loss,283,1,0.907535028464338,0.8993146563065949,0.0082203721577431,0.9057911705791666,-0.0011905792635496985,0.017713591205776716,-0.1322477207202445,1.9470248124776464,95.78,False,10000,84
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,portugal,brier_score,283,1,0.5329395077138521,0.5289278856708771,0.004011622042974988,0.7527349698999841,-0.0013473273387967645,0.009376478831221221,-0.24996964564557295,1.7437572578608402,92.57,False,10000,84
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,scotland,log_loss,439,1,0.951589478921995,0.9544964652967234,-0.002906986374728444,-0.3054874438104984,-0.010504254608410086,0.004496739503150754,-1.0943510409454764,0.47804527872870317,22.09,False,10000,85
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,scotland,brier_score,439,1,0.5566824184889854,0.5574023295424481,-0.0007199110534626803,-0.12932167957032842,-0.0057501626789907365,0.004221562590275399,-1.0311345403897425,0.7630186663123543,39.1,False,10000,85
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,turkey,log_loss,608,1,0.8991600661040849,0.9003007796345429,-0.0011407135304580083,-0.12686434523282772,-0.008291957158575152,0.00514036658038673,-0.9340987568209079,0.5714466502616453,37.68,False,10000,86
temperature_scaled,Calibrated pooled players versus calibrated market,calibration,pooled,recalibrated_market_temperature_scaled,market_plus_player_form_temperature_scaled,match_weighted,turkey,brier_score,608,1,0.5267607063638401,0.527446402926228,-0.0006856965623879172,-0.1301723067237096,-0.004903843503187072,0.003324833362668141,-0.9359990710630758,0.6419947188964171,37.22,False,10000,86
