comparison,priority,training_scope,baseline_model,enhanced_model,weighting,metric,matches,leagues,observed_baseline,observed_enhanced,observed_absolute_improvement,observed_relative_improvement_pct,lower_95_absolute,upper_95_absolute,lower_95_relative_pct,upper_95_relative_pct,samples_favouring_enhanced_pct,interval_excludes_zero,repetitions,seed
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,match_weighted,brier_score,3895,5,0.5488222372358108,0.5473561583350557,0.001466078900755085,0.2671318327295035,-0.00015803469734517204,0.0030704909420454477,-0.02841479228164106,0.5677716828219584,96.00999999999999,False,10000,43
Pooled recalibration versus raw market,secondary,pooled,closing_market,recalibrated_market,match_weighted,rps,3895,5,0.1861226539534077,0.18538894379436474,0.0007337101590429602,0.39420787499980015,6.6390518104164895e-06,0.0014449141532996736,0.0034934574858232204,0.7878220729484117,97.61999999999999,True,10000,43
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,equal_league,log_loss,3895,5,0.9263041754476375,0.9322308360937762,-0.005926660646138699,-0.6398179780712565,-0.010296634468943444,-0.001936370194598847,-1.1112064856427453,-0.20868605428761636,0.06,True,10000,44
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,equal_league,brier_score,3895,5,0.5450603504191188,0.5485095872335188,-0.0034492368144000223,-0.6328174140253947,-0.0056917428723969425,-0.001217397541509614,-1.0434115056016802,-0.22255704009599214,0.11,True,10000,44
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,equal_league,rps,3895,5,0.18488562194509012,0.18606872695405877,-0.0011831050089686445,-0.6399118528102846,-0.002173135638641461,-0.00020454020582026666,-1.1772863153318875,-0.10965645180502176,0.88,True,10000,44
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,match_weighted,log_loss,3895,5,0.9300431381913808,0.9367456111825825,-0.0067024729912016105,-0.7206625925154022,-0.011330453149247417,-0.002652329508410982,-1.2135132118264484,-0.28452297642561686,0.02,True,10000,44
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,match_weighted,brier_score,3895,5,0.5479175406922564,0.5517180218377414,-0.0038004811454849896,-0.6936228288445268,-0.006021937003626041,-0.0015799922269590485,-1.0969007104151218,-0.28840179799425264,0.03,True,10000,44
Separate players versus recalibrated market,secondary,league_specific,recalibrated_market,market_plus_player_form,match_weighted,rps,3895,5,0.18535459799515763,0.18667976513299078,-0.0013251671378331387,-0.7149362099276105,-0.002321495081152941,-0.00032777753910881647,-1.2542626032001989,-0.17603225313099802,0.4,True,10000,44
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,equal_league,log_loss,3895,5,0.9620814706274567,0.9618820245994306,0.0001994460280260747,0.020730679689319725,-0.004037736141873194,0.004224633145246972,-0.42055784563697984,0.4399303132157483,53.37,False,10000,45
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,equal_league,brier_score,3895,5,0.5703238407095229,0.5693080382414442,0.0010158024680787187,0.17810976774440798,-0.0015459041135724588,0.0035259733061739993,-0.27218412344030174,0.6185407535906617,77.79,False,10000,45
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,equal_league,rps,3895,5,0.19662019082665474,0.19619099540558013,0.0004291954210746193,0.21828654487117685,-0.0007476616910615981,0.001593182760320988,-0.3781456917754315,0.8085135585984105,75.27000000000001,False,10000,45
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,match_weighted,log_loss,3895,5,0.9660256900385931,0.9653238491326567,0.0007018409059363428,0.07265240595292077,-0.003858769673014136,0.004962396539659694,-0.3994568338806886,0.5148717524052121,62.09,False,10000,45
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,match_weighted,brier_score,3895,5,0.5732711667203175,0.5718953235888968,0.0013758431314207177,0.23999866228959527,-0.0013207252036868265,0.003972731240092151,-0.23134186019666084,0.6956505772582924,83.89999999999999,False,10000,45
Dixon-Coles with players versus plain Dixon-Coles,secondary,league_specific,dixon_coles,dixon_coles_player_form,match_weighted,rps,3895,5,0.19715110879135067,0.19656850346270144,0.0005826053286492394,0.29551207305956534,-0.0006462605742752371,0.0018015454673587176,-0.32877341543387306,0.9118161893254756,81.77,False,10000,45
