model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,team_strength + recency,2024-25,5311,1327,5,25,29,0.9840542347638873,0.5818184825424355,0.5306184778123951,team_strength|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity,2022-23,2743,1335,5,31,35,1.027305035344419,0.6153693602911684,0.5075654758334982,opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity,2023-24,4078,1233,5,31,35,1.0122702562435875,0.6049812937450065,0.48861048863590284,opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity,2024-25,5311,1327,5,31,35,1.0442760782603255,0.6254649112853837,0.48895235700361706,opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution,2022-23,2743,1335,5,44,48,1.0173500504577657,0.605015667525681,0.5125402209091837,opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution,2023-24,4078,1233,5,44,48,1.0022551896708356,0.5975582609809392,0.5115599714043368,opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution,2024-25,5311,1327,5,44,48,1.0099175888458585,0.6008239860884741,0.5133564670181232,opponent_adjusted_form|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + recency,2022-23,2743,1335,5,41,45,0.9441825724181317,0.5575334601016901,0.564805351584343,opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + recency,2023-24,4078,1233,5,41,45,0.9504350874724408,0.5597453552030772,0.5553348730360446,opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + recency,2024-25,5311,1327,5,41,45,0.9857318562476449,0.5834985921653661,0.5223695258073102,opponent_adjusted_form|recency
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution,2022-23,2743,1335,5,27,31,0.9940955448748268,0.5876345282650328,0.5445941981750111,lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution,2023-24,4078,1233,5,27,31,0.99252015406077,0.5893281373312831,0.5276984562614835,lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution,2024-25,5311,1327,5,27,31,1.015412978121684,0.6038656569642186,0.5128738018873618,lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,lineup_continuity + recency,2022-23,2743,1335,5,24,28,0.9801927920041624,0.5796581023298059,0.5461483625973873,lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,lineup_continuity + recency,2023-24,4078,1233,5,24,28,0.972830523801125,0.5764458639570693,0.536019607675241,lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,lineup_continuity + recency,2024-25,5311,1327,5,24,28,1.0187319313852226,0.6050435661974999,0.5096678623274362,lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,position_and_distribution + recency,2022-23,2743,1335,5,37,41,0.9805237178558762,0.578649464769295,0.5390004495120104,position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,position_and_distribution + recency,2023-24,4078,1233,5,37,41,0.9736709656885827,0.5781887756283547,0.5276087645306827,position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,position_and_distribution + recency,2024-25,5311,1327,5,37,41,1.0030610380096572,0.5962576377610134,0.5168265210505998,position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form,2022-23,2743,1335,5,39,43,0.944065800624634,0.5540392189722622,0.5572243214862816,legacy_player_form|team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form,2023-24,4078,1233,5,39,43,0.9441010626914143,0.5520622001414509,0.5629536571404874,legacy_player_form|team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + opponent_adjusted_form,2024-25,5311,1327,5,39,43,0.9852438903551445,0.5818803104302628,0.5322595302645663,legacy_player_form|team_strength|opponent_adjusted_form
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + lineup_continuity,2022-23,2743,1335,5,22,26,0.9436080125101736,0.5530383466800479,0.5641454320817432,legacy_player_form|team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + lineup_continuity,2023-24,4078,1233,5,22,26,0.9382826448105863,0.5489605391117729,0.5694160183039612,legacy_player_form|team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + lineup_continuity,2024-25,5311,1327,5,22,26,0.986701962737704,0.582694858784847,0.5291798418906343,legacy_player_form|team_strength|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + position_and_distribution,2022-23,2743,1335,5,35,39,0.9509485709221112,0.5567177612524233,0.5652450996464997,legacy_player_form|team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + position_and_distribution,2023-24,4078,1233,5,35,39,0.9434324764062401,0.5522432586808073,0.5667918209632861,legacy_player_form|team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + position_and_distribution,2024-25,5311,1327,5,35,39,0.9852659333443793,0.5815650390352498,0.5282022133718756,legacy_player_form|team_strength|position_and_distribution
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + recency,2022-23,2743,1335,5,32,36,0.9414166455057803,0.5525122216886006,0.5621724531529455,legacy_player_form|team_strength|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + recency,2023-24,4078,1233,5,32,36,0.9409684391193762,0.5512992054701052,0.5627838928201786,legacy_player_form|team_strength|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + team_strength + recency,2024-25,5311,1327,5,32,36,0.9840151329991125,0.5816890349598665,0.5330153743281667,legacy_player_form|team_strength|recency
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + lineup_continuity,2022-23,2743,1335,5,38,42,0.9496125525562789,0.5601775986668251,0.5573936790129268,legacy_player_form|opponent_adjusted_form|lineup_continuity
player_form_logistic,Pooled player-form logistic,legacy_player_form + opponent_adjusted_form + lineup_continuity,2023-24,4078,1233,5,38,42,0.9518386916548207,0.5609675661859526,0.5486896290866253,legacy_player_form|opponent_adjusted_form|lineup_continuity
